Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-07-21 09:10:09,false,"Toronto Running","7.28","555","00:43:40","131","147","3.1","155","169","6:00","5:17","96","96","1.07","8.9","9.6","296","5:57","327","0.0","322","547","6,730","No","00:01:36.3","8","--","--","--","00:43:35","00:44:38","69","117"
Running,2025-07-18 08:41:22,false,"Toronto Running","21.16","1,656","01:59:22","146","169","5.0","158","179","5:38","4:28","265","239","1.12","8.6","9.7","286","5:34","356","0.0","347","589","18,786","No","00:01:12.4","22","--","--","--","01:59:04","02:03:58","62","129"
Running,2025-07-17 06:47:58,false,"Toronto Running","5.85","443","00:36:30","127","144","2.9","153","160","6:14","5:30","53","46","1.05","9.1","9.5","303","6:08","317","0.0","311","443","5,552","No","00:05:13.7","6","--","--","--","00:36:11","00:38:06","97","115"
Running,2025-07-15 06:34:45,false,"Toronto Running","11.58","877","01:03:49","142","157","4.0","156","190","5:31","3:56","120","111","1.15","8.6","9.9","288","5:31","355","0.0","349","557","9,948","No","00:03:02.2","12","--","--","--","01:03:34","01:11:08","70","115"
Running,2025-07-11 06:21:13,false,"Toronto Running","16.37","1,275","01:34:27","142","159","4.6","154","174","5:46","4:35","131","134","1.12","8.7","9.7","288","5:43","339","0.0","331","467","14,670","No","00:03:25.5","17","--","--","--","01:33:15","01:38:35","70","116"
Running,2025-07-10 06:49:20,false,"Toronto Running","5.88","441","00:34:46","132","146","3.1","154","161","5:55","4:58","42","50","1.09","8.9","9.7","296","5:53","327","0.0","321","462","5,324","No","00:05:11.9","6","--","--","--","00:34:40","00:36:34","92","121"
Running,2025-07-08 08:30:27,false,"Toronto Running","11.54","885","01:04:42","141","154","4.1","156","169","5:36","3:58","100","104","1.14","8.6","9.8","289","5:35","347","0.0","342","512","10,070","No","00:02:59.6","12","--","--","--","01:04:24","01:07:48","68","114"
Running,2025-07-04 07:44:56,false,"Prince Edward Running","14.16","1,085","01:20:42","141","154","4.3","157","167","5:42","5:05","99","100","1.12","8.7","9.7","290","5:41","338","0.0","335","500","12,638","No","00:00:52.7","15","--","--","--","01:20:37","01:22:26","74","109"
Running,2025-07-01 06:50:12,false,"Toronto Running","6.66","515","00:36:28","142","161","3.8","156","174","5:29","4:51","76","68","1.17","8.5","9.9","287","5:26","363","0.0","356","512","5,684","No","00:03:21.6","7","--","--","--","00:36:24","00:37:17","78","117"
Running,2025-06-30 06:40:59,false,"Toronto Running","8.47","649","00:47:28","139","155","3.8","156","180","5:36","4:42","104","106","1.15","8.6","9.9","291","5:33","355","0.0","347","540","7,362","No","00:02:21.3","9","--","--","--","00:47:22","00:48:09","72","125"
Running,2025-06-27 14:52:15,false,"Toronto Running","10.83","864","01:01:09","146","165","4.4","153","174","5:39","3:40","152","153","1.16","8.7","10.0","296","5:35","361","0.0","351","599","9,300","No","00:05:21.2","11","--","--","--","01:00:52","01:04:05","56","110"
Running,2025-06-26 09:48:40,false,"Toronto Running","11.75","905","01:06:09","141","162","4.2","154","169","5:38","3:57","221","216","1.15","8.6","9.9","292","5:31","376","0.0","361","615","10,174","No","00:04:10.0","12","--","--","--","01:05:48","01:07:46","71","117"
Running,2025-06-23 06:53:54,false,"Toronto Running","6.83","537","00:38:52","139","163","3.7","152","172","5:42","4:28","76","73","1.14","8.7","9.9","294","5:39","347","0.0","339","506","5,936","No","00:04:24.3","7","--","--","--","00:38:37","00:40:13","72","112"
Running,2025-06-19 14:13:37,false,"Toronto Running","7.02","560","00:41:04","140","160","3.6","153","167","5:51","5:08","138","145","1.11","8.8","9.8","297","5:39","354","0.0","337","606","6,258","No","00:00:06.0","8","--","--","--","00:40:47","00:43:26","62","117"
Running,2025-06-13 07:39:51,false,"Portland - Base","10.29","791","00:57:21","140","159","3.9","155","165","5:35","4:05","103","112","1.16","8.6","9.9","288","5:31","353","0.0","345","585","8,932","No","00:02:15.7","11","--","--","--","00:56:55","00:59:19","-4","54"
Running,2025-06-04 09:24:13,false,"Toronto Running","11.51","897","01:04:12","142","159","4.1","155","172","5:35","3:09","229","182","1.15","8.6","9.8","287","5:26","366","0.0","355","754","9,972","No","00:02:40.4","12","--","--","--","01:03:33","01:09:04","69","116"
Running,2025-06-02 15:52:08,false,"Toronto - VO2 Max","8.84","688","00:46:50","148","171","4.3","157","179","5:18","3:41","163","176","1.19","8.4","9.8","281","5:14","409","0.0","366","765","7,366","No","00:02:00","14","--","--","--","00:46:34","00:50:19","54","104"
Running,2025-05-29 17:28:59,false,"Transylvania County Running","8.01","635","00:47:50","137","159","3.3","153","163","5:58","4:29","102","122","1.10","8.9","9.7","297","5:51","337","0.0","329","496","7,306","No","00:00:02.4","9","--","--","--","00:47:23","00:50:28","662","729"
Running,2025-05-27 15:34:34,false,"Toronto - Base","10.66","822","00:59:31","138","153","3.7","155","196","5:35","4:19","136","131","1.14","8.6","9.8","287","5:33","352","0.0","346","569","9,288","No","00:04:31.3","11","--","--","--","00:59:08","01:05:04","53","109"
